Date,WTI,LNG,NAT,TAVG,STATION,NAME
1997-01-15,25.95,4.25,4.34,22.0,CHM00054511,"BEIJING, CH"
1997-04-15,19.6,4.06,2,59.0,CHM00054511,"BEIJING, CH"
1997-05-15,21.3,3.98,2.25,78.0,CHM00054511,"BEIJING, CH"
2001-02-15,28.96,4.74,5.35,31.0,CHM00054511,"BEIJING, CH"
2001-03-15,26.56,4.71,5.27,47.0,CHM00054511,"BEIJING, CH"
2001-05-15,28.9,4.23,4.46,74.0,CHM00054511,"BEIJING, CH"
2001-06-15,28.52,4.29,3.86,66.0,CHM00054511,"BEIJING, CH"
2001-08-15,27.51,4.3,3.15,80.0,CHM00054511,"BEIJING, CH"
2001-10-15,22.37,4.41,2.26,59.0,CHM00054511,"BEIJING, CH"
2001-11-15,17.5,4.3,1.99,40.0,CHM00054511,"BEIJING, CH"
2002-01-15,18.99,4.27,2.32,37.0,CHM00054511,"BEIJING, CH"
2002-02-15,21.47,4.04,2.18,36.0,CHM00054511,"BEIJING, CH"
2002-03-15,24.47,3.74,2.99,60.0,CHM00054511,"BEIJING, CH"
2002-04-15,24.53,3.68,3.27,62.0,CHM00054511,"BEIJING, CH"
2002-05-15,28.17,3.79,3.6,67.0,CHM00054511,"BEIJING, CH"
2002-07-15,27.23,4.09,2.83,88.0,CHM00054511,"BEIJING, CH"
2002-08-15,28.99,4.26,2.92,79.0,CHM00054511,"BEIJING, CH"
2002-10-15,29.73,4.28,4.19,54.0,CHM00054511,"BEIJING, CH"
2002-11-15,25.5,4.3,3.92,38.0,CHM00054511,"BEIJING, CH"
2003-01-15,33.23,4.43,5.21,26.0,CHM00054511,"BEIJING, CH"
2003-04-15,29.46,4.44,5.53,67.0,CHM00054511,"BEIJING, CH"
2003-05-15,28.57,4.62,6.24,64.0,CHM00054511,"BEIJING, CH"
2003-07-15,31.6,4.67,5.17,80.0,CHM00054511,"BEIJING, CH"
2003-08-15,31.01,4.43,4.83,74.0,CHM00054511,"BEIJING, CH"
2003-09-15,28.15,4.4,4.66,71.0,CHM00054511,"BEIJING, CH"
2003-10-15,31.74,4.4,4.93,56.0,CHM00054511,"BEIJING, CH"
2003-12-15,33.17,4.51,6.63,31.0,CHM00054511,"BEIJING, CH"
2004-01-15,33.61,4.42,6.02,26.0,CHM00054511,"BEIJING, CH"
2004-03-15,37.44,4.6,5.59,46.0,CHM00054511,"BEIJING, CH"
2004-04-15,37.74,4.79,5.68,71.0,CHM00054511,"BEIJING, CH"
2004-06-15,37.18,4.83,6.35,78.0,CHM00054511,"BEIJING, CH"
2004-07-15,40.7,4.98,5.92,78.0,CHM00054511,"BEIJING, CH"
2004-09-15,43.83,5.24,5.17,63.0,CHM00054511,"BEIJING, CH"
2004-10-15,54.89,5.24,5.64,58.0,CHM00054511,"BEIJING, CH"
2004-11-15,46.95,5.32,6.02,44.0,CHM00054511,"BEIJING, CH"
2004-12-15,44.21,5.4,7.04,36.0,CHM00054511,"BEIJING, CH"
2005-02-15,47.3,5.4,6.01,32.0,CHM00054511,"BEIJING, CH"
2005-03-15,55.05,5.26,7.16,46.0,CHM00054511,"BEIJING, CH"
2005-04-15,50.61,5.19,6.95,58.0,CHM00054511,"BEIJING, CH"
2005-06-15,55.53,5.49,7.39,82.0,CHM00054511,"BEIJING, CH"
2005-07-15,58.36,5.89,8.02,79.0,CHM00054511,"BEIJING, CH"
2005-08-15,66.21,6.08,9.53,86.0,CHM00054511,"BEIJING, CH"
2005-09-15,64.64,5.97,11.24,68.0,CHM00054511,"BEIJING, CH"
2005-11-15,57.05,6.4,9.21,42.0,CHM00054511,"BEIJING, CH"
2005-12-15,60.01,6.68,14.07,29.0,CHM00054511,"BEIJING, CH"
2006-02-15,57.61,5.81,7.31,34.0,CHM00054511,"BEIJING, CH"
2006-03-15,62.11,5.69,7.1,53.0,CHM00054511,"BEIJING, CH"
2006-05-15,69.25,5.95,5.92,75.0,CHM00054511,"BEIJING, CH"
2006-06-15,69.78,5.94,6.43,78.0,CHM00054511,"BEIJING, CH"
2006-08-15,72.95,6.17,6.9,82.0,CHM00054511,"BEIJING, CH"
2006-09-15,63.3,6.22,4.4,71.0,CHM00054511,"BEIJING, CH"
2006-11-15,58.79,6.45,7.45,50.0,CHM00054511,"BEIJING, CH"
2006-12-15,63.4,6.44,6.82,39.0,CHM00054511,"BEIJING, CH"
2007-02-15,57.92,5.91,8.91,35.0,CHM00054511,"BEIJING, CH"
2007-03-15,57.52,5.85,7.02,43.0,CHM00054511,"BEIJING, CH"
2007-05-15,63.16,5.65,7.68,70.0,CHM00054511,"BEIJING, CH"
2007-06-15,68.04,5.73,7.58,79.0,CHM00054511,"BEIJING, CH"
2007-08-15,73.36,6.06,7.3,83.0,CHM00054511,"BEIJING, CH"
2007-10-15,86.19,9.34,7.09,60.0,CHM00054511,"BEIJING, CH"
2007-11-15,93.37,6.33,7.35,33.0,CHM00054511,"BEIJING, CH"
2008-01-15,91.87,6.6,8.43,20.0,CHM00054511,"BEIJING, CH"
2008-02-15,95.57,6.9,8.73,30.0,CHM00054511,"BEIJING, CH"
2008-04-15,113.77,7.09,10.16,66.0,CHM00054511,"BEIJING, CH"
2008-05-15,124.25,7.21,11.41,65.0,CHM00054511,"BEIJING, CH"
2008-07-15,138.68,7.49,11.79,74.0,CHM00054511,"BEIJING, CH"
2008-08-15,113.46,7.97,7.82,78.0,CHM00054511,"BEIJING, CH"
2008-09-15,95.52,8.56,8.02,74.0,CHM00054511,"BEIJING, CH"
2008-10-15,74.38,8.72,6.64,65.0,CHM00054511,"BEIJING, CH"
2008-12-15,44.61,8.27,5.75,34.0,CHM00054511,"BEIJING, CH"
2009-01-15,35.41,7.54,5.27,23.0,CHM00054511,"BEIJING, CH"
2009-04-15,49.26,7.33,3.6,56.0,CHM00054511,"BEIJING, CH"
2009-05-15,56.52,7.2,4.05,64.0,CHM00054511,"BEIJING, CH"
2009-06-15,70.54,7.65,3.8,77.0,CHM00054511,"BEIJING, CH"
2009-07-15,61.49,8,3.37,85.0,CHM00054511,"BEIJING, CH"
2009-09-15,70.81,10.2,3.21,73.0,CHM00054511,"BEIJING, CH"
2009-10-15,77.55,10.97,3.88,63.0,CHM00054511,"BEIJING, CH"
2009-12-15,70.62,9.18,5.53,27.0,CHM00054511,"BEIJING, CH"
2010-01-15,77.96,11.68,5.66,22.0,CHM00054511,"BEIJING, CH"
2010-03-15,79.79,12.36,4.29,36.0,CHM00054511,"BEIJING, CH"
2010-04-15,85.25,12.21,4.16,44.0,CHM00054511,"BEIJING, CH"
2010-06-15,76.84,8.27,5.11,81.0,CHM00054511,"BEIJING, CH"
2010-07-15,76.67,12.83,4.43,77.0,CHM00054511,"BEIJING, CH"
2010-09-15,75.92,9.85,4.06,79.0,CHM00054511,"BEIJING, CH"
2010-10-15,81.23,9.04,3.47,61.0,CHM00054511,"BEIJING, CH"
2010-11-15,84.88,8.18,3.56,35.0,CHM00054511,"BEIJING, CH"
2010-12-15,88.66,8.5,4.22,18.0,CHM00054511,"BEIJING, CH"
2011-02-15,83.13,9.71,3.92,25.0,CHM00054511,"BEIJING, CH"
2011-03-15,97.23,10.28,3.81,43.0,CHM00054511,"BEIJING, CH"
2011-04-15,109.17,8.25,4.21,69.0,CHM00054511,"BEIJING, CH"
2011-06-15,94.83,11.6,4.53,77.0,CHM00054511,"BEIJING, CH"
2011-07-15,97.24,12.72,4.49,77.0,CHM00054511,"BEIJING, CH"
2011-08-15,87.88,11.6,4.05,78.0,CHM00054511,"BEIJING, CH"
2011-09-15,89.4,12.76,4.04,73.0,CHM00054511,"BEIJING, CH"
2011-11-15,99.37,15.29,3.12,42.0,CHM00054511,"BEIJING, CH"
2011-12-15,93.84,12.83,3.05,27.0,CHM00054511,"BEIJING, CH"
2012-02-15,101.82,11.3,2.54,28.0,CHM00054511,"BEIJING, CH"
2012-03-15,105.19,10.67,2.07,41.0,CHM00054511,"BEIJING, CH"
2012-05-15,93.97,16.1,2.38,69.0,CHM00054511,"BEIJING, CH"
2012-06-15,84.03,17.55,2.44,76.0,CHM00054511,"BEIJING, CH"
2012-08-15,94.35,15.15,2.82,75.0,CHM00054511,"BEIJING, CH"
2012-10-15,91.84,11.57,3.35,57.0,CHM00054511,"BEIJING, CH"
2012-11-15,85.45,8.86,3.63,37.0,CHM00054511,"BEIJING, CH"
2013-01-15,93.26,10.11,3.4,23.0,CHM00054511,"BEIJING, CH"
2013-02-15,95.95,10.85,3.19,28.0,CHM00054511,"BEIJING, CH"
2013-03-15,93.49,10.02,3.89,43.0,CHM00054511,"BEIJING, CH"
2013-04-15,88.75,11.36,4.23,55.0,CHM00054511,"BEIJING, CH"
2013-05-15,93.95,12.84,4.03,71.0,CHM00054511,"BEIJING, CH"
2013-07-15,106.2,12.89,3.67,76.0,CHM00054511,"BEIJING, CH"
2013-08-15,107.43,13.25,3.34,85.0,CHM00054511,"BEIJING, CH"
2013-10-15,101.15,13.09,3.83,49.0,CHM00054511,"BEIJING, CH"
2013-11-15,93.8,13.45,3.56,48.0,CHM00054511,"BEIJING, CH"
2014-01-15,93.78,13.7,4.45,30.0,CHM00054511,"BEIJING, CH"
2014-04-15,103.7,13.23,4.69,63.0,CHM00054511,"BEIJING, CH"
2014-05-15,101.74,15.78,4.42,72.0,CHM00054511,"BEIJING, CH"
2014-07-15,100.56,16.01,4.13,82.0,CHM00054511,"BEIJING, CH"
2014-08-15,97.3,16.01,3.8,77.0,CHM00054511,"BEIJING, CH"
2014-09-15,92.86,15.74,3.92,69.0,CHM00054511,"BEIJING, CH"
2014-10-15,81.82,15.1,3.81,56.0,CHM00054511,"BEIJING, CH"
2014-12-15,55.96,13.5,3.72,29.0,CHM00054511,"BEIJING, CH"
2015-01-15,46.37,17.39,3.32,26.0,CHM00054511,"BEIJING, CH"
2015-05-15,59.73,7.53,2.96,68.0,CHM00054511,"BEIJING, CH"
2015-06-15,59.53,7.82,2.89,80.0,CHM00054511,"BEIJING, CH"
2015-07-15,51.4,8.1,2.93,80.0,CHM00054511,"BEIJING, CH"
2015-09-15,44.58,7.17,2.74,67.0,CHM00054511,"BEIJING, CH"
2015-10-15,46.38,6.53,2.54,62.0,CHM00054511,"BEIJING, CH"
2015-12-15,37.32,15.95,1.66,33.0,CHM00054511,"BEIJING, CH"
2016-01-15,29.45,10.74,2.18,30.0,CHM00054511,"BEIJING, CH"
2016-03-15,36.32,4.01,1.81,44.0,CHM00054511,"BEIJING, CH"
2016-04-15,40.4,3.96,1.71,62.0,CHM00054511,"BEIJING, CH"
2016-06-15,47.92,4.72,2.62,74.0,CHM00054511,"BEIJING, CH"
2016-07-15,45.93,5.63,2.7,71.0,CHM00054511,"BEIJING, CH"
2016-08-15,45.72,5.13,2.75,74.0,CHM00054511,"BEIJING, CH"
2016-09-15,43.85,5.11,2.98,76.0,CHM00054511,"BEIJING, CH"
2016-11-15,45.86,4.58,2.49,40.0,CHM00054511,"BEIJING, CH"
2016-12-15,50.9,4.68,3.56,30.0,CHM00054511,"BEIJING, CH"
2017-02-15,53.11,5.99,2.95,36.0,CHM00054511,"BEIJING, CH"
2017-03-15,48.34,4.47,3.02,46.0,CHM00054511,"BEIJING, CH"
2017-05-15,48.86,4.8,3.26,72.0,CHM00054511,"BEIJING, CH"
2017-06-15,44.47,4.61,2.94,88.0,CHM00054511,"BEIJING, CH"
2017-08-15,47.57,3.88,2.96,81.0,CHM00054511,"BEIJING, CH"
2017-09-15,49.9,3.88,3,70.0,CHM00054511,"BEIJING, CH"
2017-11-15,55.28,4.47,3.16,32.0,CHM00054511,"BEIJING, CH"
2017-12-15,57.29,4.74,2.6,29.0,CHM00054511,"BEIJING, CH"
2018-02-15,61.48,5.62,2.49,28.0,CHM00054511,"BEIJING, CH"
2018-03-15,61.16,4.45,2.7,43.0,CHM00054511,"BEIJING, CH"
2018-05-15,71.34,5.03,2.83,76.0,CHM00054511,"BEIJING, CH"
2018-06-15,65.01,4.65,3.02,76.0,CHM00054511,"BEIJING, CH"
2018-08-15,65.07,5.33,3.02,83.0,CHM00054511,"BEIJING, CH"
2018-10-15,71.84,4.92,3.26,56.0,CHM00054511,"BEIJING, CH"
2018-11-15,56.45,5.62,4.69,42.0,CHM00054511,"BEIJING, CH"
2019-01-15,51.8,5.89,3.54,22.0,CHM00054511,"BEIJING, CH"
